23 Sektor;Nama Perusahaan;Deskripsi KBLI;Kabkot;Tambahan Investasi (US$);Negara;Proyek;TKI;TKA;
Industri Makanan;KEBUN GANDA PRIMA;(10431) Industri Minyak Mentah Kelapa Sawit (Crude Palm Oil);Kabupaten Sanggau;54937,5;Malaysia;1;0;0;TW 3
Tanaman Pangan, Perkebunan, dan Peternakan;AGRO MANUNGGAL SAWITINDO;(01262) Perkebunan Buah Kelapa Sawit;Kabupaten Ketapang;74987,0625;Singapura;1;0;0;TW 3
Tanaman Pangan, Perkebunan, dan Peternakan;DAMAI AGRO SEJAHTERA;(01262) Perkebunan Buah Kelapa Sawit;Kabupaten Ketapang;2375;Singapura;1;0;0;TW 3
Tanaman Pangan, Perkebunan, dan Peternakan;DAMAI AGRO SEJAHTERA;(01262) Perkebunan Buah Kelapa Sawit;Kabupaten Ketapang;0;Singapura;1;0;0;TW 3
Perdagangan dan Reparasi;YAKULT INDONESIA PERSADA;(46326) Perdagangan Besar Susu Dan Produk Susu;Kabupaten Kubu Raya;316648,2563;Jepang;1;0;0;TW 3
Tanaman Pangan, Perkebunan, dan Peternakan;KARYA MAKMUR LANGGENG;(01262) Perkebunan Buah Kelapa Sawit;Kabupaten Ketapang;605671,2823;Singapura;1;0;0;TW 3
Perdagangan dan Reparasi;YAKULT INDONESIA PERSADA;(46326) Perdagangan Besar Susu Dan Produk Susu;Kabupaten Sintang;222276,3188;Jepang;1;0;0;TW 3
Perdagangan dan Reparasi;YAKULT INDONESIA PERSADA;(46326) Perdagangan Besar Susu Dan Produk Susu;Kabupaten Ketapang;574,40625;Jepang;1;0;0;TW 3
Tanaman Pangan, Perkebunan, dan Peternakan;PALMDALE AGROASIA LESTARI MAKMUR;(01262) Perkebunan Buah Kelapa Sawit;Kabupaten Kubu Raya;0;Kepulauan Virgin Inggris;1;5;0;TW 3
Industri Makanan;PALMDALE AGROASIA LESTARI MAKMUR;(10431) Industri Minyak Mentah Kelapa Sawit (Crude Palm Oil);Kabupaten Kubu Raya;14932,5;Kepulauan Virgin Inggris;1;5;0;TW 3
Tanaman Pangan, Perkebunan, dan Peternakan;LESTARI GEMILANG INTISAWIT;(01262) Perkebunan Buah Kelapa Sawit;Kabupaten Ketapang;246944,3518;Singapura;1;0;0;TW 3
Industri Makanan;LESTARI GEMILANG INTISAWIT;(10431) Industri Minyak Mentah Kelapa Sawit (Crude Palm Oil);Kabupaten Ketapang;143189,2188;Singapura;1;0;0;TW 3
Perdagangan dan Reparasi;MERAPI UTAMA PHARMA;(46326) Perdagangan Besar Susu Dan Produk Susu;Kabupaten Kubu Raya;0;Jepang;1;0;0;TW 3
Tanaman Pangan, Perkebunan, dan Peternakan;TINTIN BOYOK SAWIT MAKMUR;(01262) Perkebunan Buah Kelapa Sawit;Kabupaten Sekadau;470345,4865;Korea Selatan;1;0;0;TW 3
Industri Makanan;TINTIN BOYOK SAWIT MAKMUR;(10431) Industri Minyak Mentah Kelapa Sawit (Crude Palm Oil);Kabupaten Sekadau;73974,68181;Korea Selatan;1;0;0;TW 3
Perdagangan dan Reparasi;TINTIN BOYOK SAWIT MAKMUR;(46202) Perdagangan Besar Buah Yang Mengandung Minyak;Kabupaten Sekadau;0;Korea Selatan;1;0;0;TW 3
Tanaman Pangan, Perkebunan, dan Peternakan;PRAKARSA TANI SEJATI;(01262) Perkebunan Buah Kelapa Sawit;Kabupaten Ketapang;1627750;Singapura;1;0;2;TW 3
Tanaman Pangan, Perkebunan, dan Peternakan;PRAKARSA TANI SEJATI;(01262) Perkebunan Buah Kelapa Sawit;Kabupaten Ketapang;9500;Singapura;1;0;0;TW 3
Tanaman Pangan, Perkebunan, dan Peternakan;SUMBER HASIL PRIMA;(01262) Perkebunan Buah Kelapa Sawit;Kabupaten Sintang;2427,1285;Singapura;1;1;0;TW 3
Jasa Lainnya;GREEN GLOBAL LESTARI;(77395) Aktivitas Penyewaan dan Sewa Guna Tanpa Hak Opsi Mesin Pertambangan dan Energi serta Peralatannya;Kabupaten Sekadau;188795,6982;Korea Selatan;1;0;0;TW 3
Tanaman Pangan, Perkebunan, dan Peternakan;PRAKARSA TANI SEJATI;(01262) Perkebunan Buah Kelapa Sawit;Kabupaten Ketapang;143937,5;Singapura;1;0;0;TW 3
Industri Makanan;SUMBER HASIL PRIMA;(10431) Industri Minyak Mentah Kelapa Sawit (Crude Palm Oil);Kabupaten Sintang;5086,5625;Singapura;1;0;0;TW 3
Tanaman Pangan, Perkebunan, dan Peternakan;SAWIT MAKMUR SEJAHTERA;(01262) Perkebunan Buah Kelapa Sawit;Kabupaten Ketapang;5812,133063;Singapura;1;10;0;TW 3
Industri Karet dan Plastik;SUMBER ALAM;(22123) Industri Karet Remah (Crumb Rubber);Kota Pontianak;3930,81525;Singapura;1;170;0;TW 3
Industri Karet dan Plastik;SUMBER DJANTIN;(22123) Industri Karet Remah (Crumb Rubber);Kabupaten Sambas;0;Singapura;1;4;0;TW 3
Jasa Lainnya;GREEN GLOBAL LESTARI;(77395) Aktivitas Penyewaan dan Sewa Guna Tanpa Hak Opsi Mesin Pertambangan dan Energi serta Peralatannya;Kabupaten Sekadau;205840,0208;Korea Selatan;1;0;0;TW 3
Tanaman Pangan, Perkebunan, dan Peternakan;SINAR SAWIT ANDALAN;(01262) Perkebunan Buah Kelapa Sawit;Kabupaten Sintang;2442,016;Singapura;1;5;0;TW 3
Industri Karet dan Plastik;SUMBER DJANTIN;(22123) Industri Karet Remah (Crumb Rubber);Kota Pontianak;0;Singapura;1;5;0;TW 3
Tanaman Pangan, Perkebunan, dan Peternakan;BATU MAS SEJAHTERA;(01262) Perkebunan Buah Kelapa Sawit;Kabupaten Ketapang;1950;Singapura;1;0;0;TW 3
Industri Makanan;BATU MAS SEJAHTERA;(10431) Industri Minyak Mentah Kelapa Sawit (Crude Palm Oil);Kabupaten Ketapang;149228,3348;Singapura;1;0;0;TW 3
Industri Makanan;BATU MAS SEJAHTERA;(10432) Industri Minyak Mentah Inti Kelapa Sawit (Crude Palm Kernel Oil);Kabupaten Ketapang;0;Singapura;1;0;0;TW 3
Perdagangan dan Reparasi;PERFECT COMPANION INDONESIA;(46339) Perdagangan Besar Makanan Dan Minuman Lainnya;Kabupaten Kubu Raya;0;Thailand;1;0;0;TW 3
Industri Karet dan Plastik;SUMBER DJANTIN;(22123) Industri Karet Remah (Crumb Rubber);Kabupaten Sanggau;0;Singapura;1;0;0;TW 3
Tanaman Pangan, Perkebunan, dan Peternakan;SEPANJANG INTISURYA MULIA;(01262) Perkebunan Buah Kelapa Sawit;Kabupaten Ketapang;598576,1653;Singapura;1;0;0;TW 3
Tanaman Pangan, Perkebunan, dan Peternakan;SEPANJANG INTISURYA MULIA;(01262) Perkebunan Buah Kelapa Sawit;Kabupaten Ketapang;0;Singapura;1;0;0;TW 3
Industri Karet dan Plastik;GMG SENTOSA;(22123) Industri Karet Remah (Crumb Rubber);Kabupaten Kubu Raya;0;Singapura;1;5;0;TW 3
Industri Makanan;SEPANJANG INTISURYA MULIA;(10431) Industri Minyak Mentah Kelapa Sawit (Crude Palm Oil);Kabupaten Ketapang;183752,5271;Singapura;1;7;0;TW 3
Kehutanan;WANA SUBUR LESTARI;(02111) Pemanfaatan Kayu Hutan Tanaman pada Hutan Produksi;Kabupaten Kubu Raya;43139,0625;Singapura;1;7;0;TW 3
Kehutanan;MAYANGKARA TANAMAN INDUSTRI;(02111) Pemanfaatan Kayu Hutan Tanaman pada Hutan Produksi;Kabupaten Sanggau;26551,78738;Singapura;1;7;0;TW 3
Kehutanan;MAYANGKARA TANAMAN INDUSTRI;(02111) Pemanfaatan Kayu Hutan Tanaman pada Hutan Produksi;Kabupaten Ketapang;0;Singapura;1;0;0;TW 3
Kehutanan;KUBU MULIA FORESTRY;(02111) Pemanfaatan Kayu Hutan Tanaman pada Hutan Produksi;Kabupaten Kubu Raya;7971,832938;Singapura;1;5;0;TW 3
Perdagangan dan Reparasi;BINA OVIVIPARI SEMESTA;(46610) Perdagangan Besar Bahan Bakar Padat, Cair Dan Gas Dan Produk YBDI;Kabupaten Kubu Raya;51694,38488;Singapura;1;0;0;TW 3
Kehutanan;JELAI LESTARI ABADI;(02111) Pemanfaatan Kayu Hutan Tanaman pada Hutan Produksi;Kabupaten Ketapang;0;Singapura;1;0;0;TW 3
Tanaman Pangan, Perkebunan, dan Peternakan;BORNEO INTERNATIONAL ANUGERAH;(01262) Perkebunan Buah Kelapa Sawit;Kabupaten Kapuas Hulu;7945,1495;Singapura;1;190;0;TW 3
Perdagangan dan Reparasi;MERAPI UTAMA PHARMA;(46691) Perdagangan Besar Alat Laboratorium, Alat Farmasi Dan Alat Kedokteran Untuk Manusia;Kabupaten Kubu Raya;0;Jepang;1;0;0;TW 3
Tanaman Pangan, Perkebunan, dan Peternakan;AGRAJAYA BAKTITAMA;(01262) Perkebunan Buah Kelapa Sawit;Kabupaten Ketapang;83905,51675;Singapura;1;103;0;TW 3
Perdagangan dan Reparasi;ANUGERAH PHARMINDO LESTARI;(46441) Perdagangan Besar Obat Farmasi Untuk Manusia;Kabupaten Kubu Raya;875;Singapura;1;0;0;TW 3
Perdagangan dan Reparasi;ANUGERAH PHARMINDO LESTARI;(46691) Perdagangan Besar Alat Laboratorium, Alat Farmasi Dan Alat Kedokteran Untuk Manusia;Kabupaten Kubu Raya;1593,75;Singapura;1;0;0;TW 3
Jasa Lainnya;RUANG RAYA INDONESIA;(85495) Pendidikan Bimbingan Belajar Dan Konseling Swasta;Kabupaten Kubu Raya;0;Singapura;1;0;0;TW 3
Industri Makanan;SUNRISE MALINDO SENTOSA;(10433) Industri Pemisahan/Fraksinasi Minyak Mentah Kelapa Sawit dan Minyak Mentah Inti Kelapa Sawit;Kabupaten Ketapang;0;Malaysia;1;0;0;TW 3
Perdagangan dan Reparasi;SUNRISE MALINDO SENTOSA;(46315) Perdagangan Besar Minyak dan Lemak Nabati;Kabupaten Ketapang;0;Malaysia;1;0;0;TW 3
Jasa Lainnya;GRAND UTAMA MANDIRI;(86105) Aktivitas Klinik Swasta;Kabupaten Sekadau;7241,633813;Korea Selatan;1;8;0;TW 3
Industri Logam Dasar, Barang Logam, Bukan Mesin dan Peralatannya;SUPREME ALUMINA INDONESIA;(24202) Industri Pembuatan Logam Dasar Bukan Besi;Kabupaten Ketapang;20964,86056;Singapura;1;0;0;TW 3
Tanaman Pangan, Perkebunan, dan Peternakan;RIMBA BORNEO MAKMUR;(01262) Perkebunan Buah Kelapa Sawit;Kabupaten Landak;137500;Malaysia;1;0;0;TW 3
Pertambangan;TRANSON DAYA INDOMINING;(08999) Pertambangan Dan Penggalian Lainnya Ytdl;Kota Pontianak;3127,772813;R.R. Tiongkok;1;0;0;TW 3
Industri Makanan;GRAND UTAMA MANDIRI;(10431) Industri Minyak Mentah Kelapa Sawit (Crude Palm Oil);Kabupaten Sekadau;410467,545;Korea Selatan;1;8;0;TW 3
Tanaman Pangan, Perkebunan, dan Peternakan;SAWIT MITRA ABADI;(01262) Perkebunan Buah Kelapa Sawit;Kabupaten Ketapang;302035,745;Singapura;1;0;0;TW 3
Tanaman Pangan, Perkebunan, dan Peternakan;GRAND UTAMA MANDIRI;(01262) Perkebunan Buah Kelapa Sawit;Kabupaten Sekadau;1691368,027;Korea Selatan;1;1;0;TW 3
Tanaman Pangan, Perkebunan, dan Peternakan;SURYA AGRO PALMA;(01262) Perkebunan Buah Kelapa Sawit;Kabupaten Sanggau;570200,9092;Singapura;1;0;0;TW 3
Tanaman Pangan, Perkebunan, dan Peternakan;GRAND UTAMA MANDIRI;(01262) Perkebunan Buah Kelapa Sawit;Kabupaten Sekadau;230721,1256;Korea Selatan;1;1;0;TW 3
Industri Kimia Dan Farmasi;ATP BIO INDONESIA;(20115) Industri Kimia Dasar Organik Yang Bersumber Dari Hasil Pertanian;Kabupaten Kubu Raya;6584937,536;Jepang;1;17;3;TW 3
Industri Kimia Dan Farmasi;ATP BIO INDONESIA;(20115) Industri Kimia Dasar Organik Yang Bersumber Dari Hasil Pertanian;Kabupaten Kubu Raya;0;Jepang;1;0;0;TW 3
Tanaman Pangan, Perkebunan, dan Peternakan;CITRA SAWIT CEMERLANG;(01262) Perkebunan Buah Kelapa Sawit;Kabupaten Ketapang;718534,4068;Singapura;1;161;0;TW 3
Transportasi, Gudang dan Telekomunikasi;ATP BIO INDONESIA;(52221) Aktivitas Pelayanan Kepelabuhanan Laut;Kabupaten Kubu Raya;0;Jepang;1;0;0;TW 3
Industri Makanan;CITRA SAWIT CEMERLANG;(10431) Industri Minyak Mentah Kelapa Sawit (Crude Palm Oil);Kabupaten Ketapang;0;Singapura;1;0;0;TW 3
Tanaman Pangan, Perkebunan, dan Peternakan;AGRO ABADI CEMERLANG;(01262) Perkebunan Buah Kelapa Sawit;Kabupaten Sanggau;98345,952;Singapura;1;110;0;TW 3
Industri Makanan;AGRO ABADI CEMERLANG;(10431) Industri Minyak Mentah Kelapa Sawit (Crude Palm Oil);Kabupaten Sanggau;83639,125;Singapura;1;7;0;TW 3
Tanaman Pangan, Perkebunan, dan Peternakan;NABATI AGRO SUBUR;(01262) Perkebunan Buah Kelapa Sawit;Kabupaten Ketapang;33057,69894;Singapura;1;0;0;TW 3
Tanaman Pangan, Perkebunan, dan Peternakan;SEJAHTERA SAWIT LESTARI;(01262) Perkebunan Buah Kelapa Sawit;Kabupaten Ketapang;43038,12381;Singapura;1;0;0;TW 3
Tanaman Pangan, Perkebunan, dan Peternakan;AGRO ABADI CEMERLANG;(01262) Perkebunan Buah Kelapa Sawit;Kabupaten Sanggau;16380,4375;Singapura;1;0;0;TW 3
Transportasi, Gudang dan Telekomunikasi;LX PANTOS JAKARTA;(52101) Pergudangan dan Penyimpanan;Kabupaten Kubu Raya;93,75;Korea Selatan;1;0;0;TW 3
Transportasi, Gudang dan Telekomunikasi;NIPSEA PAINT AND CHEMICALS;(52101) Pergudangan dan Penyimpanan;Kota Singkawang;0;Hongkong, RRT;1;0;0;TW 3
Perdagangan dan Reparasi;MERAPI UTAMA PHARMA;(46441) Perdagangan Besar Obat Farmasi Untuk Manusia;Kabupaten Kubu Raya;2513,5135;Jepang;1;0;0;TW 3
Jasa Lainnya;IKHASAS INDO MAKMUR;(70209) Aktivitas Konsultasi Manajemen Lainnya;Kota Pontianak;0;Malaysia;1;0;0;TW 3
Tanaman Pangan, Perkebunan, dan Peternakan;PALMA AGRO LESTARI JAYA;(01262) Perkebunan Buah Kelapa Sawit;Kabupaten Sintang;1296553,957;Singapura;1;5;0;TW 3
Perdagangan dan Reparasi;TINTIN BOYOK SAWIT MAKMUR DUA;(46202) Perdagangan Besar Buah Yang Mengandung Minyak;Kabupaten Sanggau;0;Korea Selatan;1;0;0;TW 3
Jasa Lainnya;CINEMAXX GLOBAL PASIFIK;(59140) Aktivitas Pemutaran Film;Kabupaten Ketapang;73672,84963;Belanda;1;8;0;TW 3
Tanaman Pangan, Perkebunan, dan Peternakan;TINTIN BOYOK SAWIT MAKMUR DUA;(01262) Perkebunan Buah Kelapa Sawit;Kabupaten Sanggau;62361,26981;Korea Selatan;1;0;0;TW 3
Industri Makanan;PULAU TIGA LESTARI JAYA;(10431) Industri Minyak Mentah Kelapa Sawit (Crude Palm Oil);Kabupaten Sanggau;0;Singapura;1;0;0;TW 3
Hotel dan Restoran;PANCA BOGA PARAMITA;(56101) Restoran;Kota Singkawang;12000;Hongkong, RRT;1;0;0;TW 3
Tanaman Pangan, Perkebunan, dan Peternakan;TINTIN BOYOK SAWIT MAKMUR DUA;(01262) Perkebunan Buah Kelapa Sawit;Kabupaten Sanggau;2094,975625;Korea Selatan;1;0;0;TW 3
Industri Mineral Non Logam;SEMEN KALBAR PERKASA;(23941) Industri Semen;Kabupaten Ketapang;31809,43281;R.R. Tiongkok;1;0;0;TW 3
Hotel dan Restoran;FORE KOPI INDONESIA;(56303) Rumah Minum/Kafe;Kabupaten Kubu Raya;0;Singapura;1;0;0;TW 3
Industri Lainnya;NUSA BINA ENERGY;(38211) Treatment dan Pembuangan Limbah dan Sampah Tidak Berbahaya;Kota Pontianak;0;R.R. Tiongkok;1;0;0;TW 3
Jasa Lainnya;NUSA BINA ENERGY;(70209) Aktivitas Konsultasi Manajemen Lainnya;Kota Pontianak;0;R.R. Tiongkok;1;0;0;TW 3
Industri Kimia Dan Farmasi;BORNEO COKE RESOURCE;(19100) Industri produk dari batu bara;Kabupaten Ketapang;15,145375;Kepulauan Virgin Inggris;1;0;0;TW 3
Listrik, Gas dan Air;BORNEO COKE RESOURCE;(35111) Pembangkitan Tenaga Listrik;Kabupaten Ketapang;4,1494375;Kepulauan Virgin Inggris;1;0;0;TW 3
Listrik, Gas dan Air;BORNEO COKE RESOURCE;(35301) Pengadaan Uap/Air Panas Dan Udara Dingin;Kabupaten Ketapang;1,4523125;Kepulauan Virgin Inggris;1;0;0;TW 3
Perdagangan dan Reparasi;MERAPI UTAMA PHARMA;(46693) Perdagangan Besar Karet Dan Plastik Dalam Bentuk Dasar;Kabupaten Kubu Raya;0;Jepang;1;0;0;TW 3
Industri Makanan;PUTRA SARI LESTARI;(10431) Industri Minyak Mentah Kelapa Sawit (Crude Palm Oil);Kabupaten Ketapang;0;Singapura;1;0;0;TW 3
Tanaman Pangan, Perkebunan, dan Peternakan;PUTRA SARI LESTARI;(01262) Perkebunan Buah Kelapa Sawit;Kabupaten Ketapang;167093,5371;Singapura;1;1;0;TW 3
Konstruksi;ANDALAS PERMAI BORNEO;(43120) Penyiapan Lahan;Kota Pontianak;6250;Malaysia;1;0;0;TW 3
Pertambangan;AGRABUDI GASUTAMA PRIMA;(07293) Pertambangan Bijih Bauksit;Kabupaten Landak;8128,064125;Selandia Baru;1;0;0;TW 3
Pertambangan;FORTUNA JAYA MAKMUR;(07293) Pertambangan Bijih Bauksit;Kabupaten Landak;9890,504688;Hongkong, RRT;1;0;0;TW 3
Tanaman Pangan, Perkebunan, dan Peternakan;ANDALAS PERMAI BORNEO;(01611) Jasa Pengolahan Lahan;Kota Pontianak;625;Malaysia;1;0;0;TW 3
Tanaman Pangan, Perkebunan, dan Peternakan;GEMILANG MAKMUR SUBUR;(01262) Perkebunan Buah Kelapa Sawit;Kabupaten Ketapang;9049,83325;Singapura;1;0;0;TW 3
Pertambangan;KINDAI MANDIRI SEJAHTERA;(07293) Pertambangan Bijih Bauksit;Kabupaten Landak;4417,726063;Hongkong, RRT;1;0;0;TW 3
Pertambangan;MELIAU RATU ABADI;(07293) Pertambangan Bijih Bauksit;Kabupaten Ketapang;10480,4655;Hongkong, RRT;1;0;0;TW 3
Tanaman Pangan, Perkebunan, dan Peternakan;LADANG SAWIT MAS;(01262) Perkebunan Buah Kelapa Sawit;Kabupaten Ketapang;230264,1795;Singapura;1;0;0;TW 3
Pertambangan;TAYAN ALUMINA ABADI;(07293) Pertambangan Bijih Bauksit;Kabupaten Ketapang;34680,6695;Hongkong, RRT;1;0;0;TW 3
Industri Makanan;LADANG SAWIT MAS;(10431) Industri Minyak Mentah Kelapa Sawit (Crude Palm Oil);Kabupaten Ketapang;174505,6577;Singapura;1;0;0;TW 3
Pertambangan;TAMINDO MUTIARAPERKASA;(07293) Pertambangan Bijih Bauksit;Kabupaten Landak;16247,092;Hongkong, RRT;1;0;0;TW 3
Perdagangan dan Reparasi;MERAPI UTAMA PHARMA;(46339) Perdagangan Besar Makanan Dan Minuman Lainnya;Kabupaten Kubu Raya;0;Jepang;1;0;0;TW 3
Perdagangan dan Reparasi;MERAPI UTAMA PHARMA;(46492) Perdagangan Besar Alat Olahraga;Kabupaten Kubu Raya;0;Jepang;1;0;0;TW 3
Industri Logam Dasar, Barang Logam, Bukan Mesin dan Peralatannya;KARIMATA ALUMIN INDUSTRI;(24204) Industri Ekstrusi Logam Bukan Besi;Kabupaten Ketapang;9,356;Singapura;1;0;0;TW 3
Tanaman Pangan, Perkebunan, dan Peternakan;WAHANA PLANTATION AND PRODUCTS;(01262) Perkebunan Buah Kelapa Sawit;Kabupaten Sintang;67994,18881;Hongkong, RRT;1;78;0;TW 3
Industri Kendaraan Bermotor dan Alat Transportasi Lain;KARIMATA ALUMIN INDUSTRI;(30200) Industri Lokomotif dan Gerbong Kereta;Kabupaten Ketapang;9,355875;Singapura;1;0;0;TW 3
Hotel dan Restoran;PANCA BOGA PARAMITA;(56101) Restoran;Kabupaten Kubu Raya;16312,5;Hongkong, RRT;1;0;0;TW 3
Industri Logam Dasar, Barang Logam, Bukan Mesin dan Peralatannya;ANEKA ALUMINIUM PRODUK;(24203) Industri Penggilingan Logam Bukan Besi;Kabupaten Ketapang;14,050625;Singapura;1;0;0;TW 3
Industri Kendaraan Bermotor dan Alat Transportasi Lain;ANEKA ALUMINIUM PRODUK;(29300) Industri Suku Cadang dan Aksesori Kendaraan Bermotor Roda Empat Atau Lebih;Kabupaten Ketapang;14,0506875;Singapura;1;0;0;TW 3
Industri Logam Dasar, Barang Logam, Bukan Mesin dan Peralatannya;KETAPANG ALUMINIUM BASE;(24202) Industri Pembuatan Logam Dasar Bukan Besi;Kabupaten Ketapang;7,8946875;Singapura;1;0;0;TW 3
Listrik, Gas dan Air;KETAPANG ALUMINIUM BASE;(35111) Pembangkitan Tenaga Listrik;Kabupaten Ketapang;7,894625;Singapura;1;0;0;TW 3
Industri Makanan;WAHANA PLANTATION AND PRODUCTS;(10431) Industri Minyak Mentah Kelapa Sawit (Crude Palm Oil);Kabupaten Sintang;117001,8891;Hongkong, RRT;1;0;0;TW 3
Transportasi, Gudang dan Telekomunikasi;TANJUNG TELUK MENTIMUN;(52240) Penanganan Kargo (Bongkar Muat Barang);Kabupaten Ketapang;177443,5743;Hongkong, RRT;1;5;0;TW 3
Hotel dan Restoran;PANCA BOGA PARAMITA;(56101) Restoran;Kota Singkawang;11343,75;Hongkong, RRT;1;0;0;TW 3
Kehutanan;HUTAN KETAPANG INDUSTRI;(02111) Pemanfaatan Kayu Hutan Tanaman pada Hutan Produksi;Kabupaten Ketapang;876273,562;Singapura;1;264;0;TW 3
Hotel dan Restoran;SRIBOGA MARUGAME INDONESIA;(56101) Restoran;Kota Pontianak;854,1666875;Amerika Serikat;1;0;0;TW 3
Tanaman Pangan, Perkebunan, dan Peternakan;PULAU TIGA LESTARI JAYA;(01262) Perkebunan Buah Kelapa Sawit;Kabupaten Sanggau;432795,4268;Singapura;1;22;0;TW 3
Tanaman Pangan, Perkebunan, dan Peternakan;PULAU TIGA LESTARI JAYA;(01262) Perkebunan Buah Kelapa Sawit;Kabupaten Sanggau;0;Singapura;1;0;0;TW 3
Industri Makanan;BORNEO KETAPANG PERMAI;(10431) Industri Minyak Mentah Kelapa Sawit (Crude Palm Oil);Kabupaten Sanggau;0;Singapura;1;0;0;TW 3
Tanaman Pangan, Perkebunan, dan Peternakan;BORNEO KETAPANG PERMAI;(01262) Perkebunan Buah Kelapa Sawit;Kabupaten Sanggau;653070,4588;Singapura;1;19;0;TW 3
Hotel dan Restoran;BUMI BERKAH BOGA;(56303) Rumah Minum/Kafe;Kota Pontianak;0;Singapura;1;0;0;TW 3
Perdagangan dan Reparasi;PETRO ANDALAN NUSANTARA;(46610) Perdagangan Besar Bahan Bakar Padat, Cair Dan Gas Dan Produk YBDI;Kabupaten Mempawah;0;Singapura;1;0;0;TW 3
Hotel dan Restoran;BUMI BERKAH BOGA;(56303) Rumah Minum/Kafe;Kota Pontianak;0;Singapura;1;1;0;TW 3
Perdagangan dan Reparasi;DAESANG AGUNG INDONESIA;(46319) Perdagangan Besar Bahan Makanan Dan Minuman Hasil Pertanian Lainnya;Kota Pontianak;0;Korea Selatan;1;0;0;TW 3
Industri Makanan;FALCON AGRI PERSADA;(10431) Industri Minyak Mentah Kelapa Sawit (Crude Palm Oil);Kabupaten Ketapang;0;Singapura;1;0;0;TW 3
Tanaman Pangan, Perkebunan, dan Peternakan;FALCON AGRI PERSADA;(01262) Perkebunan Buah Kelapa Sawit;Kabupaten Ketapang;2742985,608;Singapura;1;99;0;TW 3
Tanaman Pangan, Perkebunan, dan Peternakan;FALCON AGRI PERSADA;(01262) Perkebunan Buah Kelapa Sawit;Kabupaten Ketapang;0;Singapura;1;0;0;TW 3
Industri Makanan;KARYA BAKTI AGRO SEJAHTERA;(10431) Industri Minyak Mentah Kelapa Sawit (Crude Palm Oil);Kabupaten Ketapang;736052,2169;Singapura;1;0;0;TW 3
Tanaman Pangan, Perkebunan, dan Peternakan;KARYA BAKTI AGRO SEJAHTERA;(01262) Perkebunan Buah Kelapa Sawit;Kabupaten Ketapang;78797,59156;Singapura;1;0;0;TW 3
Tanaman Pangan, Perkebunan, dan Peternakan;HUNGARINDO PERSADA;(01262) Perkebunan Buah Kelapa Sawit;Kabupaten Ketapang;657,1875;Singapura;1;0;0;TW 3
Tanaman Pangan, Perkebunan, dan Peternakan;RAYA SAWIT MANUNGGAL;(01262) Perkebunan Buah Kelapa Sawit;Kabupaten Ketapang;1980,7115;Singapura;1;0;0;TW 3
Tanaman Pangan, Perkebunan, dan Peternakan;RAYA SAWIT MANUNGGAL;(01262) Perkebunan Buah Kelapa Sawit;Kabupaten Ketapang;1980,7115;Singapura;1;0;0;TW 3
Tanaman Pangan, Perkebunan, dan Peternakan;RAYA SAWIT MANUNGGAL;(01262) Perkebunan Buah Kelapa Sawit;Kabupaten Ketapang;1980,7115;Singapura;1;0;0;TW 3
Tanaman Pangan, Perkebunan, dan Peternakan;AGRO SEJAHTERA MANUNGGAL;(01262) Perkebunan Buah Kelapa Sawit;Kabupaten Ketapang;7180,340875;Singapura;1;0;0;TW 3
Tanaman Pangan, Perkebunan, dan Peternakan;AGRO SEJAHTERA MANUNGGAL;(01262) Perkebunan Buah Kelapa Sawit;Kabupaten Ketapang;7180,340875;Singapura;1;0;0;TW 3
Industri Makanan;AGRO SEJAHTERA MANUNGGAL;(10431) Industri Minyak Mentah Kelapa Sawit (Crude Palm Oil);Kabupaten Ketapang;908085,5661;Singapura;1;0;0;TW 3
Tanaman Pangan, Perkebunan, dan Peternakan;GUNAJAYA KARYA GEMILANG;(01262) Perkebunan Buah Kelapa Sawit;Kabupaten Ketapang;168980,4503;Singapura;1;0;0;TW 3
Tanaman Pangan, Perkebunan, dan Peternakan;GUNAJAYA KARYA GEMILANG;(01262) Perkebunan Buah Kelapa Sawit;Kabupaten Ketapang;0;Singapura;1;0;0;TW 3
Industri Makanan;GUNAJAYA KARYA GEMILANG;(10431) Industri Minyak Mentah Kelapa Sawit (Crude Palm Oil);Kabupaten Ketapang;586113,9892;Singapura;1;0;0;TW 3
Tanaman Pangan, Perkebunan, dan Peternakan;AGRIPLUS;(01262) Perkebunan Buah Kelapa Sawit;Kabupaten Ketapang;3154,17675;Singapura;1;0;0;TW 3
Tanaman Pangan, Perkebunan, dan Peternakan;MITRA KARYA SENTOSA;(01262) Perkebunan Buah Kelapa Sawit;Kabupaten Ketapang;431476,0686;Singapura;1;28;0;TW 3
Tanaman Pangan, Perkebunan, dan Peternakan;GUNAJAYA KETAPANG SENTOSA;(01262) Perkebunan Buah Kelapa Sawit;Kabupaten Ketapang;120573,4033;Singapura;1;0;0;TW 3
Industri Makanan;GUNAJAYA KETAPANG SENTOSA;(10431) Industri Minyak Mentah Kelapa Sawit (Crude Palm Oil);Kabupaten Ketapang;472367,9824;Singapura;1;0;0;TW 3
Industri Makanan;MITRA KARYA SENTOSA;(10431) Industri Minyak Mentah Kelapa Sawit (Crude Palm Oil);Kabupaten Ketapang;5309977,787;Singapura;1;8;0;TW 3
Jasa Lainnya;JOSH & TASANI LESTARI;(96122) Aktivitas SPA (Sante Par Aqua);Kota Pontianak;0;Singapura;1;0;0;TW 3
